order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2625565,21,prior,1,1,10,
2698037,21,prior,2,1,9,7.0
1166994,21,prior,3,1,13,7.0
129152,21,prior,4,1,14,14.0
62373,21,prior,5,1,14,7.0
2984916,21,prior,6,5,6,4.0
1716848,21,prior,7,5,9,28.0
3288630,21,prior,8,2,13,18.0
2592860,21,prior,9,4,10,2.0
1573906,21,prior,10,3,10,6.0
2102674,21,prior,11,1,15,12.0
534401,21,prior,12,1,9,21.0
2510446,21,prior,13,5,11,4.0
1082944,21,prior,14,1,9,10.0
3257456,21,prior,15,1,9,7.0
774475,21,prior,16,1,11,7.0
1953572,21,prior,17,2,15,1.0
1674891,21,prior,18,2,11,21.0
77791,21,prior,19,3,9,8.0
1413723,21,prior,20,1,10,12.0
1806047,21,prior,21,1,9,7.0
1431584,21,prior,22,3,9,9.0
2941505,21,prior,23,2,13,6.0
1322450,21,prior,24,5,8,3.0
1776467,21,prior,25,5,8,7.0
497940,21,prior,26,1,11,10.0
1735495,21,prior,27,3,8,9.0
1996394,21,prior,28,1,9,5.0
1110781,21,prior,29,2,9,8.0
2097221,21,prior,30,1,11,6.0
2057208,21,prior,31,3,15,9.0
865324,21,prior,32,1,13,12.0
3341737,21,prior,33,1,12,30.0
1854765,21,train,34,1,12,28.0
1138968,28,prior,1,0,14,
1589342,28,prior,2,5,13,19.0
3331846,28,prior,3,0,16,2.0
1782508,28,prior,4,3,16,17.0
1432100,28,prior,5,2,15,27.0
358148,28,prior,6,2,12,14.0
2657750,28,prior,7,1,17,6.0
2695156,28,prior,8,0,16,13.0
1584053,28,prior,9,1,15,30.0
1639907,28,prior,10,0,17,6.0
2760669,28,prior,11,0,7,30.0
1819575,28,prior,12,1,19,1.0
1272493,28,prior,13,5,17,11.0
279523,28,prior,14,2,13,18.0
2810971,28,prior,15,3,17,15.0
1481969,28,prior,16,4,12,1.0
181977,28,prior,17,5,13,1.0
979759,28,prior,18,0,17,9.0
2070736,28,prior,19,5,16,12.0
760273,28,prior,20,1,13,10.0
1385910,28,prior,21,2,17,1.0
1818037,28,prior,22,2,15,7.0
2195945,28,prior,23,1,14,6.0
1978052,28,prior,24,0,15,13.0
1192143,28,test,25,1,16,8.0
3285797,36,prior,1,4,17,
412111,36,prior,2,5,18,8.0
240889,36,prior,3,5,17,21.0
1602446,36,prior,4,1,11,10.0
2472897,36,prior,5,4,15,3.0
1626957,36,prior,6,5,15,15.0
453864,36,prior,7,6,14,15.0
2010389,36,prior,8,3,17,4.0
278124,36,prior,9,0,11,4.0
14400,36,prior,10,1,18,1.0
1145961,36,prior,11,5,19,4.0
746041,36,prior,12,0,16,9.0
682472,36,prior,13,6,15,20.0
3067639,36,prior,14,0,12,22.0
2640464,36,prior,15,5,17,12.0
479244,36,prior,16,3,21,5.0
409708,36,prior,17,0,15,11.0
423623,36,prior,18,4,17,18.0
664952,36,prior,19,0,8,3.0
2833188,36,prior,20,4,9,25.0
1185674,36,prior,21,0,9,3.0
2890966,36,prior,22,3,12,3.0
2671410,36,prior,23,4,17,22.0
1189699,36,prior,24,2,7,5.0
2138456,36,prior,25,4,10,9.0
669187,36,prior,26,3,18,6.0
1460684,36,prior,27,5,21,16.0
2795573,36,prior,28,0,11,16.0
1719560,36,prior,29,3,21,3.0
2693179,36,prior,30,3,21,0.0
903277,36,prior,31,6,12,10.0
2527665,36,prior,32,0,9,8.0
2230383,36,prior,33,3,19,3.0
793311,36,prior,34,6,11,10.0
1032510,36,prior,35,0,16,15.0
182125,36,prior,36,4,12,4.0
2710884,36,prior,37,4,12,7.0
1320132,36,test,38,0,8,3.0
79015,54,prior,1,2,19,
1546110,54,prior,2,0,22,5.0
3337837,54,prior,3,4,18,11.0
2548338,54,prior,4,1,19,4.0
1514655,54,prior,5,6,16,5.0
142873,54,prior,6,1,7,9.0
2008078,54,prior,7,6,13,5.0
631226,54,prior,8,5,16,13.0
3121842,54,prior,9,4,10,20.0
2205320,54,prior,10,2,9,5.0
862838,54,prior,11,4,12,2.0
881725,54,prior,12,5,9,8.0
939629,54,prior,13,0,11,2.0
638726,54,prior,14,0,11,7.0
1182951,54,prior,15,5,12,12.0
378070,54,prior,16,1,12,3.0
1376661,54,prior,17,6,13,12.0
3084020,54,prior,18,1,11,9.0
2326857,54,prior,19,6,11,12.0
905479,54,prior,20,3,10,4.0
1321441,54,prior,21,4,0,1.0
640014,54,prior,22,6,10,2.0
2983519,54,prior,23,5,14,13.0
311292,54,prior,24,6,12,1.0
2917598,54,prior,25,6,12,7.0
2045952,54,prior,26,0,11,1.0
2916715,54,prior,27,3,0,3.0
3135095,54,prior,28,4,16,1.0
51418,54,prior,29,4,23,0.0
2143390,54,prior,30,3,11,6.0
3167855,54,prior,31,4,10,1.0
1339168,54,prior,32,6,11,2.0
1630627,54,prior,33,1,1,2.0
2413026,54,prior,34,0,9,13.0
2648531,54,prior,35,1,11,1.0
3184864,54,prior,36,5,10,4.0
3249202,54,prior,37,6,12,1.0
3336359,54,prior,38,6,14,7.0
3066373,54,prior,39,6,20,0.0
1840067,54,prior,40,3,20,4.0
1893574,54,prior,41,6,9,3.0
2861721,54,prior,42,1,9,2.0
159678,54,prior,43,4,8,3.0
3270096,54,prior,44,3,19,6.0
2960216,54,prior,45,4,18,1.0
2058687,54,prior,46,2,15,5.0
3290450,54,prior,47,0,22,5.0
1902195,54,prior,48,4,9,4.0
2018396,54,prior,49,6,14,2.0
1794598,54,prior,50,0,22,1.0
1102893,54,prior,51,2,23,2.0
1162211,54,prior,52,4,11,2.0
3201675,54,prior,53,5,11,1.0
1598289,54,prior,54,6,11,8.0
1683909,54,prior,55,3,11,18.0
692802,54,prior,56,4,9,1.0
