,first,second,label
0,['Organic Cilantro'],['Organic Whole Milk'],0
1,['Organic Whole Milk'],['Organic Cilantro'],0
2,['Organic Whole Milk'],['Organic Italian Parsley Bunch'],0
3,['Organic Italian Parsley Bunch'],['Organic Whole Milk'],0
4,['Bunched Cilantro'],['Organic Cilantro'],0
5,['Organic Cilantro'],['Bunched Cilantro'],0
6,['Bunched Cilantro'],['Organic Italian Parsley Bunch'],0
7,['Organic Italian Parsley Bunch'],['Bunched Cilantro'],0
8,['Extra Virgin Olive Oil'],['Organic Cilantro'],0
9,['Organic Cilantro'],['Extra Virgin Olive Oil'],0
10,['Extra Virgin Olive Oil'],['Organic Italian Parsley Bunch'],0
11,['Organic Italian Parsley Bunch'],['Extra Virgin Olive Oil'],0
12,['Grated Parmesan'],['Organic Cilantro'],0
13,['Organic Cilantro'],['Grated Parmesan'],0
14,['Organic Cilantro'],['Organic Italian Parsley Bunch'],0
15,['Organic Italian Parsley Bunch'],['Organic Cilantro'],0
16,['Grated Parmesan'],['Organic Italian Parsley Bunch'],0
17,['Organic Italian Parsley Bunch'],['Grated Parmesan'],0
18,['Organic Thyme'],['Organic Italian Parsley Bunch'],0
19,['Organic Italian Parsley Bunch'],['Organic Thyme'],0
20,['Organic Basil'],['Organic Italian Parsley Bunch'],0
21,['Organic Italian Parsley Bunch'],['Organic Basil'],0
22,['Baby Food Stage 2 Pumpkin Banana'],['Broccoli & Apple Stage 2 Baby Food'],1
23,['Broccoli & Apple Stage 2 Baby Food'],['Baby Food Stage 2 Pumpkin Banana'],1
24,['Broccoli & Apple Stage 2 Baby Food'],['Organic Whole Milk'],1
25,['Organic Whole Milk'],['Broccoli & Apple Stage 2 Baby Food'],1
26,['Broccoli & Apple Stage 2 Baby Food'],['Spinach Peas & Pear Stage 2 Baby Food'],1
27,['Spinach Peas & Pear Stage 2 Baby Food'],['Broccoli & Apple Stage 2 Baby Food'],1
28,['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],['Broccoli & Apple Stage 2 Baby Food'],1
29,['Broccoli & Apple Stage 2 Baby Food'],['Baby Food Stage 2 Blueberry Pear & Purple Carrot'],1
30,['Apple and Carrot Stage 2 Baby Food'],['Broccoli & Apple Stage 2 Baby Food'],1
31,['Broccoli & Apple Stage 2 Baby Food'],['Apple and Carrot Stage 2 Baby Food'],1
32,"['Peach,  Apricot & Banana Stage 2 Baby Food']",['Spinach Peas & Pear Stage 2 Baby Food'],1
33,['Spinach Peas & Pear Stage 2 Baby Food'],"['Peach,  Apricot & Banana Stage 2 Baby Food']",1
