,first,second,label
0,[31717],[27845],0
1,[27845],[31717],0
2,[27845],[34126],0
3,[34126],[27845],0
4,[28842],[31717],0
5,[31717],[28842],0
6,[28842],[34126],0
7,[34126],[28842],0
8,[31506],[31717],0
9,[31717],[31506],0
10,[31506],[34126],0
11,[34126],[31506],0
12,[33731],[31717],0
13,[31717],[33731],0
14,[31717],[34126],0
15,[34126],[31717],0
16,[33731],[34126],0
17,[34126],[33731],0
18,[39812],[34126],0
19,[34126],[39812],0
20,[43789],[34126],0
21,[34126],[43789],0
22,[14211],[3020],1
23,[3020],[14211],1
24,[3020],[27845],1
25,[27845],[3020],1
26,[3020],[34134],1
27,[34134],[3020],1
28,[43875],[3020],1
29,[3020],[43875],1
30,[47888],[3020],1
31,[3020],[47888],1
32,[5114],[34134],1
33,[34134],[5114],1
34,[5114],[43875],1
35,[43875],[5114],1
36,[5491],[27845],1
37,[27845],[5491],1
38,[30192],[5491],1
39,[5491],[30192],1
40,[37003],[5491],1
41,[5491],[37003],1
42,[43875],[5491],1
43,[5491],[43875],1
44,[5491],[49044],1
45,[49044],[5491],1
46,[9076],[27845],1
47,[27845],[9076],1
48,[14211],[34134],1
49,[34134],[14211],1
50,[43875],[14211],1
51,[14211],[43875],1
52,[14491],[27845],1
53,[27845],[14491],1
54,[14491],[34134],1
55,[34134],[14491],1
56,[43875],[14491],1
57,[14491],[43875],1
58,[18176],[19046],1
59,[19046],[18176],1
60,[18176],[21162],1
61,[21162],[18176],1
62,[18176],[27845],1
63,[27845],[18176],1
64,[21162],[19046],1
65,[19046],[21162],1
66,[21162],[27845],1
67,[27845],[21162],1
68,[22035],[27845],1
69,[27845],[22035],1
70,[30489],[22035],1
71,[22035],[30489],1
72,[22035],[31717],1
73,[31717],[22035],1
74,[22035],[33731],1
75,[33731],[22035],1
76,[22035],[34126],1
77,[34126],[22035],1
78,[22035],[34134],1
79,[34134],[22035],1
80,[43875],[22035],1
81,[22035],[43875],1
82,[22969],[27845],1
83,[27845],[22969],1
84,[23025],[27845],1
85,[27845],[23025],1
86,[25890],[27845],1
87,[27845],[25890],1
88,[27156],[27845],1
89,[27845],[27156],1
90,[30489],[27845],1
91,[27845],[30489],1
